Power	Speed 	Hatch 	Thickness	Spot	Energy	PSD	Atmosphere	Geometry	 Strategy	RD
400	900	0.0815	0.03	0.08	181.78	38.5	1	1	4	97.58
150	1000	0.05	0.03	0.07	100.00	25.68	1	1	1	97.52
250	1200	0.09	0.03	0.07	77.16	41	2	1	1	97.5
180	1200	0.05	0.03	0.07	100.00	25.68	1	1	1	97.48
170	800	0.05	0.03	0.07	141.67	25.68	1	1	1	97.44
160	700	0.05	0.03	0.07	152.38	25.68	1	1	1	97.43
200	1200	0.13	0.03	0.07	42.74	41	2	1	1	97.4
320	600	0.1024	0.03	0.08	173.61	38.5	1	1	4	97.39
250	1200	0.1	0.04	0.08	52.08	28	6	1	6	97.38
360	900	0.0889	0.03	0.08	149.98	38.5	1	1	4	97.36
320	750	0.0869	0.03	0.08	163.66	38.5	1	1	4	97.36
360	750	0.0849	0.03	0.08	188.46	38.5	1	1	4	97.35
150	1000	0.05	0.05	0.115	60.00	47.5	6	4	6	97.33
360	750	0.098	0.03	0.08	163.27	38.5	1	1	4	97.32
160	1100	0.05	0.03	0.07	96.97	25.68	1	1	1	97.30
200	1200	0.13	0.03	0.07	42.74	41	2	1	1	97.3
250	1200	0.13	0.03	0.07	53.42	41	2	1	1	97.3
250	800	0.13	0.03	0.07	80.13	41	2	1	1	97.3
250	550	0.13	0.09	0.07	38.85	41	2	1	1	97.3
350	1100	0.13	0.03	0.08	81.59	41.5	1	1	1	97.28
360	600	0.0962	0.03	0.08	207.90	38.5	1	1	4	97.25
400	750	0.1047	0.03	0.08	169.80	38.5	1	1	4	97.21
250	1200	0.13	0.03	0.07	53.42	41	2	1	1	97.2
180	800	0.05	0.03	0.07	150.00	25.68	1	1	1	97.12
250	1200	0.09	0.03	0.07	77.16	41	2	1	1	97.1
170	1200	0.05	0.03	0.07	94.44	25.68	1	1	1	97.08
300	800	0.2	0.04	0.08	46.88	28	6	1	6	97.00
200	571.43	0.08	0.025	0.08	175.00	45	6	2	1	97.00
400	2000	0.15	0.05	0.085	26.67	41.5	6	1	6	97
140	1000	0.05	0.03	0.07	93.33	25.68	1	1	1	96.95
180	1300	0.05	0.03	0.07	92.31	25.68	1	1	1	96.95
400	750	0.0907	0.03	0.08	196.01	38.5	1	1	4	96.94
350	1200	0.13	0.03	0.07	74.79	41	2	1	1	96.9
250	1600	0.13	0.06	0.07	20.03	41	2	1	1	96.9
250	475	0.13	0.09	0.07	44.98	41	2	1	1	96.9
360	600	0.111	0.03	0.08	180.18	38.5	1	1	4	96.88
150	1000	0.05	0.05	0.115	60.00	47.5	6	4	6	96.81
350	1200	0.13	0.03	0.07	74.79	41	2	1	1	96.8
250	600	0.13	0.06	0.07	53.42	41	2	1	1	96.7
350	1100	0.07	0.03	0.08	151.52	41.5	1	1	1	96.68
180	1400	0.05	0.03	0.07	85.71	25.68	1	1	1	96.66
300	1000	0.1	0.06	0.08	50.00	28	6	1	6	96.63
140	600	0.05	0.03	0.07	155.56	25.68	1	1	1	96.55
400	900	0.0878	0.03	0.08	168.73	38.5	1	1	4	96.51
250	2400	0.13	0.03	0.07	26.71	41	2	1	1	96.5
175	1025	0.0525	0.03	0.15	108.40	35	1	1	3	96.5
170	1300	0.05	0.03	0.07	87.18	25.68	1	1	1	96.47
170	700	0.05	0.03	0.07	161.90	25.68	1	1	1	96.34
788	500	0.35	0.06	0.1	75.05	40	6	1	6	96.29
160	1200	0.05	0.03	0.07	88.89	25.68	1	1	1	96.25
300	1500	0.15	0.05	0.085	26.67	41.5	6	1	6	96.2
150	1000	0.05	0.05	0.115	60.00	47.5	6	4	6	96.18
180	700	0.05	0.03	0.07	171.43	25.68	1	1	1	96.10
350	1100	0.1	0.03	0.08	106.06	41.5	1	1	1	96.08
150	1100	0.05	0.03	0.07	90.91	25.68	1	1	1	96.05
150	600	0.05	0.03	0.07	166.67	25.68	1	1	1	95.99
250	800	0.15	0.06	0.08	34.72	28	6	1	6	95.88
250	700	0.13	0.06	0.07	45.79	41	2	1	1	95.8
463	1099	0.3	0.06	0.1	23.41	40	6	1	6	95.78
250	400	0.13	0.09	0.07	53.42	41	2	1	1	95.7
625	1400	0.35	0.06	0.1	21.26	40	6	1	6	95.67
160	600	0.05	0.03	0.07	177.78	25.68	1	1	1	95.65
150	1200	0.05	0.03	0.07	83.33	25.68	1	1	1	95.64
250	2600	0.13	0.03	0.07	24.65	41	2	1	1	95.6
140	1100	0.05	0.03	0.07	84.85	25.68	1	1	1	95.59
400	600	0.1164	0.03	0.08	190.91	38.5	1	1	4	95.58
250	325	0.13	0.09	0.07	65.75	41	2	1	1	95.4
170	600	0.05	0.03	0.07	188.89	25.68	1	1	1	95.38
180	1500	0.05	0.03	0.07	80.00	25.68	1	1	1	95.22
170	1400	0.05	0.03	0.07	80.95	25.68	1	1	1	95.21
250	500	0.13	0.06	0.07	64.10	41	2	1	1	95.2
200	1000	0.15	0.04	0.08	33.33	28	6	1	6	95.13
180	600	0.05	0.03	0.07	200.00	25.68	1	1	1	95.11
140	500	0.05	0.03	0.07	186.67	25.68	1	1	1	95.10
160	1300	0.05	0.03	0.07	82.05	25.68	1	1	1	95.05
625	2000	0.3	0.06	0.1	17.36	40	6	1	6	94.83
150	500	0.05	0.03	0.07	200.00	25.68	1	1	1	94.81
463	1099	0.3	0.06	0.1	23.41	40	6	1	6	94.72
300	800	0.3	0.06	0.1	20.83	40	6	1	6	94.68
788	1700	0.4	0.06	0.1	19.31	40	6	1	6	94.67
250	250	0.13	0.09	0.07	85.47	41	2	1	1	94.6
140	400	0.05	0.03	0.07	233.33	25.68	1	1	1	94.52
150	1200	0.13	0.03	0.07	32.05	41	2	1	1	94.5
250	400	0.13	0.06	0.07	80.13	41	2	1	1	94.5
250	1800	0.13	0.06	0.07	17.81	41	2	1	1	94.5
175	1675	0.0975	0.03	0.15	35.72	35	1	1	3	94.5
150	1350	0.075	0.03	0.15	49.38	35	1	1	3	94.5
180	1600	0.05	0.03	0.07	75.00	25.68	1	1	1	94.42
140	1200	0.05	0.03	0.07	77.78	25.68	1	1	1	94.41
150	1200	0.13	0.03	0.07	32.05	41	2	1	1	94.4
200	800	0.1	0.02	0.08	125.00	28	6	1	6	94.38
788	2300	0.35	0.06	0.1	16.31	40	6	1	6	94.33
160	1400	0.05	0.03	0.07	76.19	25.68	1	1	1	94.33
160	500	0.05	0.03	0.07	213.33	25.68	1	1	1	94.31
463	1700	0.4	0.06	0.1	11.35	40	6	1	6	94.25
170	1500	0.05	0.03	0.07	75.56	25.68	1	1	1	94.25
150	1300	0.05	0.03	0.07	76.92	25.68	1	1	1	94.22
300	1400	0.35	0.06	0.1	10.20	40	6	1	6	93.94
170	500	0.05	0.03	0.07	226.67	25.68	1	1	1	93.87
788	500	0.35	0.06	0.1	75.05	40	6	1	6	93.86
250	300	0.13	0.03	0.07	213.68	41	2	1	1	93.7
250	2800	0.13	0.03	0.07	22.89	41	2	1	1	93.7
175	1675	0.0525	0.03	0.15	66.33	35	1	1	3	93.6
140	1300	0.05	0.03	0.07	71.79	25.68	1	1	1	93.56
250	1400	0.13	0.09	0.07	15.26	41	2	1	1	93.5
160	1500	0.05	0.03	0.07	71.11	25.68	1	1	1	93.45
150	400	0.05	0.03	0.07	250.00	25.68	1	1	1	93.43
170	1600	0.05	0.03	0.07	70.83	25.68	1	1	1	93.40
250	400	0.13	0.03	0.07	160.26	41	2	1	1	93.3
250	600	0.13	0.03	0.07	106.84	41	2	1	1	93.3
463	2300	0.35	0.06	0.1	9.59	40	6	1	6	93.2
175	1675	0.0525	0.03	0.15	66.33	35	1	1	3	93.2
150	1400	0.05	0.03	0.07	71.43	25.68	1	1	1	93.16
180	500	0.05	0.03	0.07	240.00	25.68	1	1	1	93.13
250	200	0.13	0.03	0.07	320.51	41	2	1	1	93
250	100	0.13	0.03	0.07	641.03	41	2	1	1	92.9
250	1600	0.13	0.09	0.07	13.35	41	2	1	1	92.8
180	1700	0.05	0.03	0.07	70.59	25.68	1	1	1	92.73
150	1350	0.075	0.03	0.15	49.38	35	1	1	3	92.7
160	400	0.05	0.03	0.07	266.67	25.68	1	1	1	92.68
200	1200	0.2	0.06	0.08	13.89	28	6	1	6	92.51
150	1350	0.075	0.03	0.15	49.38	35	1	1	3	92.5
250	3000	0.13	0.03	0.07	21.37	41	2	1	1	92.4
170	400	0.05	0.03	0.07	283.33	25.68	1	1	1	92.22
140	300	0.05	0.03	0.07	311.11	25.68	1	1	1	91.84
160	1600	0.05	0.03	0.07	66.67	25.68	1	1	1	91.66
180	400	0.05	0.03	0.07	300.00	25.68	1	1	1	91.63
140	1400	0.05	0.03	0.07	66.67	25.68	1	1	1	91.53
170	1700	0.05	0.03	0.07	66.67	25.68	1	1	1	91.47
150	1500	0.05	0.03	0.07	66.67	25.68	1	1	1	91.07
250	3200	0.13	0.03	0.07	20.03	41	2	1	1	91
625	1400	0.35	0.06	0.1	21.26	40	6	1	6	90.9
125	1025	0.0975	0.03	0.15	41.69	35	1	1	3	90.7
125	1025	0.0975	0.03	0.15	41.69	35	1	1	3	90.6
160	1700	0.05	0.03	0.07	62.75	25.68	1	1	1	90.58
150	300	0.05	0.03	0.07	333.33	25.68	1	1	1	90.48
140	1500	0.05	0.03	0.07	62.22	25.68	1	1	1	90.43
150	1600	0.05	0.03	0.07	62.50	25.68	1	1	1	90.29
160	300	0.05	0.03	0.07	355.56	25.68	1	1	1	90.11
150	1350	0.075	0.03	0.15	49.38	35	1	1	3	90.1
150	1700	0.05	0.03	0.07	58.82	25.68	1	1	1	89.97
150	1350	0.075	0.03	0.15	49.38	35	1	1	3	89.9
250	3600	0.13	0.03	0.07	17.81	41	2	1	1	89.8
150	700	0.075	0.03	0.15	95.24	35	1	1	3	89.6
140	1600	0.05	0.03	0.07	58.33	25.68	1	1	1	89.50
150	1350	0.03	0.03	0.15	123.46	35	1	1	3	89.5
150	1350	0.12	0.03	0.15	30.86	35	1	1	3	89.2
140	1700	0.05	0.03	0.07	54.90	25.68	1	1	1	88.24
250	3400	0.13	0.03	0.07	18.85	41	2	1	1	88.2
125	1025	0.0525	0.03	0.15	77.43	35	1	1	3	88.2
250	4200	0.13	0.03	0.07	15.26	41	2	1	1	87.8
300	800	0.3	0.06	0.1	20.83	40	6	1	6	87.24
175	1675	0.0975	0.03	0.15	35.72	35	1	1	3	86.9
170	300	0.05	0.03	0.07	377.78	25.68	1	1	1	86.34
250	1800	0.13	0.09	0.07	11.87	41	2	1	1	86.1
125	1025	0.0525	0.03	0.15	77.43	35	1	1	3	85.9
625	2000	0.3	0.06	0.1	17.36	40	6	1	6	85.58
180	300	0.05	0.03	0.07	400.00	25.68	1	1	1	85.48
300	2000	0.15	0.05	0.085	20.00	41.5	6	1	6	85.4
788	1700	0.4	0.06	0.1	19.31	40	6	1	6	85.02
